Al2O3 in vacuum	Al2O3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	15.2E-20
Al2O3 in water	Al2O3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	3.67E-20

BaTiO3 in vaccum	BaTiO3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	18E-20
BaTiO3 in water	BaTiO3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	8E-20

BeO in vaccum	BeO	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	14.5E-20
BeO in water	BeO	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	3.35E-20

Diamond in vaccum	C	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	29.6E-20
Diamond in water	C	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	13.8E-20

CaCO3 in vaccum	CaCO3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	10.1E-20
CaCO3 in water	CaCO3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	1.44E-20

CaF2 in vaccum	CaF2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	6.96E-20
CaF2 in water	CaF2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.49E-20

CdS in vaccum	CdS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	11.4E-20
CdS in water	CdS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	3.40E-20

CsI in vaccum	CsI	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	8.02E-20
CsI in water	CsI	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	1.20E-20

KBr in vaccum	KBr	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	5.61E-20
KBr in water	KBr	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.55E-20

KCl in vaccum	KCl	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	5.51E-20
KCl in water	KCl	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.41E-20

LiF in vaccum	LiF	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	6.33E-20
LiF in water	LiF	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.36E-20

MgAl2O4 in vaccum	MgAl2O4	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	12.6E-20
MgAl2O4 in water	MgAl2O4	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	2.44E-20

MgF2 in vaccum	MgF2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	5.87E-20
MgF2 in water	MgF2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.37E-20

MgO in vaccum	MgO	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	12.1E-20
MgO in water	MgO	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	2.21E-20

Mica in vaccum	Mica	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	9.86E-20
Mica in water	Mica	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	1.34E-20

NaCl in vaccum	NaCl	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	6.48E-20
NaCl in water	NaCl	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.52E-20

NaF in vaccum	NaF	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	4.05E-20
NaF in water	NaF	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.31E-20

PbS in vaccum	PbS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	8.17E-20
PbS in water	PbS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	4.98E-20

6H-SiC in vaccum	SiC	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	24.8E-20
6H-SiC in water	SiC	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	10.9E-20

b-SiC in vaccum	SiC	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	24.6E-20
b-SiC in water	SiC	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	10.7E-20

b-Si3N4 in vaccum	Si3N4	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	18.0E-20
b-Si3N4 in water	Si3N4	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	5.47E-20

Amorphous Si3N4 in vaccum	Si3N4	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	16.7E-20
Amorphous Si3N4 in water	Si3N4	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	4.85E-20

Quartz in vaccum	SiO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	8.86E-20
Quartz in water	SiO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	1.02E-20

Silica in vaccum	SiO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	6.50E-20
Silica in water	SiO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	0.46E-20

SrTiO3 in vaccum	SrTiO3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	14.8E-20
SrTiO3 in water	SrTiO3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	4.77E-20

Average TiO2 in vaccum	TiO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	15.3E-20
